S000000439	P38329
S000001693	P22515
S000005031	P48231
S000004537	Q03640
S000005612	Q12466
S000005096	P53901
S000003861	P47140
S000005772	Q08651
S000006117	Q08952
S000005639	P41696
S000005452	Q12010
S000000351	P38279
S000002760	Q06328
S000000464	P38339
S000006036	P32873
S000002787	Q06407
S000000290	P38250
S000000746	P39994
S000004714	P07342
S000000039	P11433
S000004181	P80667
S000000630	P25358
S000004364	P40319
S000003732	P39540
S000000404	P29366
S000000532	P11710
S000002696	Q05541
S000001924	Q00684
S000003220	P51979
S000001885	P07834
S000004329	P37370
S000002160	Q03435
S000001340	P04801
S000005501	Q08282
S000002843	Q04081
S000002828	P41809
S000000059	P39712
S000001431	P40442
S000001458	P08640
S000000685	P25653
S000004936	Q04893
S000001254	P38894
S000003246	P32334
S000002197	Q12459
S000005515	Q05164
S000000084	P32768
S000001211	P38860
S000001064	P38763
S000001856	P01123
S000005248	P48559
S000001530	P36090
S000001421	P40450
S000005215	P41832
S000000287	P18412
S000001855	P60010
S000002727	Q06676
S000006307	P30656
S000006299	Q06836
S000000748	P39993
S000003792	P47102
S000003055	P53152
S000000689	P25655
S000004984	P46678
S000002694	Q05530
S000000174	P38182
S000005993	Q02863
S000001901	P43589
S000005130	P53874
S000002395	P19881
S000005472	Q12317
S000005237	P48566
S000001440	P40561
S000004067	Q08023
S000003797	P40985
S000005544	Q02805
S000007605	Q3E785
S000006435	P69771
S000004057	P32522
S000005512	Q12333
S000005707	Q12446
S000000902	P33296
S000002512	Q12116
S000002491	P38962
S000000368	P38116
S000004593	P09734
S000004550	P09733
S000001801	P32901
S000001798	P36166
S000004650	Q02630
S000001551	Q02629
S000001906	P43593
S000004179	Q06321
S000006160	P46683
S000006206	Q12428
S000003223	P32805
S000006390	P39933
S000004229	Q06005
S000004592	P25297
S000005190	P53853
S000004788	Q03214
S000004596	Q03124
S000005937	P09547
S000003537	Q7LHG5
S000005595	Q92331
S000003573	P47057
S000002969	P53199
S000002409	P41920
S000004327	P32499
S000005174	P53861
S000003022	P53173
S000000414	P38312
S000005312	P53729
S000006311	Q06102
S000005499	P07260
S000000298	P38254
S000000185	P38176
S000000921	P40074
S000001350	P40501
S000000319	P07702
S000001386	P40471
S000004839	Q05016
S000004836	P50102
S000000946	P39944
S000003733	P39538
S000005144	P40165
S000004367	Q05937
S000001065	P08964
S000005853	P19524
S000000027	P32492
S000005653	P39083
S000000957	P39960
S000005624	P20676
S000002931	P08458
S000001144	P38692
S000001857	P02557
S000000634	P25300
S000005259	P32453
S000006083	Q12042
S000028520	Q3E829
S000001047	P08539
S000000822	P10823
S000003139	P45818
S000005924	Q12059
S000006384	Q06624
S000004775	P32567
S000001326	P40516
S000004492	Q03713
S000006102	Q08923
S000001737	P36124
S000003704	P46995
S000001161	P38827
S000001488	P36106
S000003641	P42948
S000003619	P47030
S000001727	P36115
S000004103	P32485
S000006258	P41808
S000006153	P32867
S000004795	P39926
S000001304	P40530
S000003027	P53170
S000006062	Q03002
S000004363	P51862
S000006396	P0CD91
S000001840	P43549
S000003976	P0CD98
S000000661	P25364
S000006335	Q06504
S000005133	Q02821
S000003017	P39936
S000003394	P39935
S000006229	P37366
S000001612	P36006
S000004715	Q04439
S000000199	P38165
S000005558	Q12398
S000002693	P31111
S000002764	P32380
S000003633	P40857
S000004897	P32807
S000000647	P25631
S000004322	Q12114
S000004381	Q06010
S000001043	P38755
S000001711	Q02201
S000006066	P35844
S000005763	P35843
S000003184	P53086
S000004631	Q05040
S000003449	P50077
S000006207	P53394
S000005327	P32323
S000000663	P25365
S000002797	P17121
S000005660	Q12128
S000000971	P39956
S000002503	Q03833
S000001623	P34163
S000003935	Q07804
S000004010	Q07950
S000002366	Q12315
S000001293	P40537
S000000278	P38244
S000000180	P38042
S000005249	P48558
S000006111	P38996
S000005769	Q08647
S000006385	P15303
S000001077	P38769
S000005931	P53600
S000004120	Q12436
S000003224	P32804
S000005605	Q12067
S000001658	P34240
S000004916	P40416
S000006191	P33311
S000000684	P15891
S000000181	P38041
S000003290	P53238
S000006053	P19516
S000005884	Q08826
S000002248	P22007
S000001120	P38799
S000001248	P11792
S000000232	P38070
S000004710	P18961
S000001609	P12688
S000003700	P06244
S000006260	Q12004
S000003592	P47043
S000000980	P16387
S000005975	Q02799
S000003833	P47122
S000004829	Q03656
S000001461	P15367
S000003691	P32604
S000001369	P40433
S000004337	Q06137
S000005507	Q12462
S000003059	P52920
S000001265	P40558
S000005694	P13188
S000003214	P46655
S000000758	P24279
S000005606	Q08496
S000000924	P38682
S000005148	P32572
S000005603	P40962
S000003826	P47117
S000001468	P25335
S000006072	Q12417
S000004186	P21304
S000005913	P05066
S000002413	P40317
S000004158	P35200
S000002593	Q04006
S000000901	P38620
S000000164	P38063
S000001003	P38689
S000001664	P32895
S000006277	P40347
S000001574	P33324
S000004684	P24280
S000005232	P53829
S000004926	P32497
S000006360	Q06451
S000000384	P38125
S000001090	P38776
S000003951	Q07824
S000000212	P38124
S000001382	P40475
S000001383	P40474
S000000247	P38227
S000005799	Q12256
S000003370	P53283
S000005009	P53943
S000001138	P38695
S000002753	P32466
S000005371	Q08108
S000004610	P39105
S000004608	Q03674
S000004957	P53541
S000006012	P41921
S000000610	P25618
S000003801	P37020
S000001279	P40547
S000002896	P40960
S000004804	Q04322
S000006170	Q12344
S000004339	Q06142
S000000221	P38217
S000000856	P40036
S000001307	P40187
S000005704	P28006
S000004489	P34161
S000004985	P53960
S000001600	P28707
S000006312	Q06103
S000000629	P25357
S000000314	P16661
S000006304	Q06090
S000001575	P33314
S000000673	P25644
S000002389	P25044
S000005635	Q12271
S000005050	P50942
S000001264	P40559
S000004373	Q12748
S000002692	Q05521
S000002911	Q04396
S000007237	Q6Q560
S000003857	P47137
S000001146	P38715
S000002776	Q12458
S000005646	P14065
S000003805	P47111
S000006339	Q01454
S000004252	Q99260
S000000643	P25627
S000001411	P40457
S000001803	Q02455
S000004183	Q05776
S000005737	P32266
S000004572	Q01846
S000003493	P46682
S000005322	P53735
S000005099	P53899
S000005219	P53838
S000002571	P30619
S000004388	P20795
S000002620	P12612
S000004301	P04821
S000003642	P32581
S000005298	P53720
S000003796	P40352
S000005261	P42841
S000002932	Q04412
