F41G3.12	G5EG68
T19D12.6	Q22574
F55H12.3	P90891
K08D12.1	Q966I8
C49A9.7	O44148
C38C10.1	Q03566
Y71F9B.16	Q95Y44
D1007.1	G5EC89
R08B4.2	Q21836
F08B12.1	Q19188
Y111B2A.8	Q9BHL6
T20F7.6	O02168
Y41G9A.3	Q9N501
F40E10.6	G5EGF1
T01G9.4	Q22078
Y46E12BL.3	Q965N7
Y110A7A.20	Q8TA52
F41G3.4	Q20291
Y56A3A.22	Q9U237
T10B11.6	Q9TZH8
C09B8.4	Q17846
T24H10.4	Q22750
T10B11.5	Q9TZH9
W03A5.4	Q23138
Y67H2A.7	Q95PY9
ZK550.3	O62512
T23H2.1	P91495
Y39E4B.8	G5ED00
T19D12.3	Q22577
Y39E4B.5	Q9U2K5
Y37A1A.3	O45920
F53H8.3	Q20734
R09B5.11	O44616
K08H10.6	Q9XU83
F14E5.1	G5EC93
F48E3.2	Q9GPA2
ZK563.1	Q23535
F13B12.2	Q19376
C35A11.4	O16547
ZK829.9	Q23626
Y61A9LA.1	Q9N309
C03B1.13	Q95QY6
R06C7.8	Q21776
F31F6.3	Q19944
F31F6.1	Q19942
C27C12.3	G5EEW4
ZC328.4	O02053
T07D4.3	Q22307
F52B5.3	Q20644
C06E1.10	P34305
F49B2.5	O45539
Y92H12A.1	G5EE56
F01G10.9	O17767
K07H8.1	Q20068
Y43B11AR.3	Q9N3X3
D2013.7	Q18967
C18E9.6	Q18090
2L52.1	A4F336
C08B11.3	Q09441
C17G10.2	Q09974
B0285.5	P46555
ZK829.2	P34751
C05D2.3	O45138
C09G9.4	Q17874
M04B2.4	Q21504
F30B5.7	Q19913
F31C3.4	O62192
Y54G9A.4	Q9XWH3
C18A3.2	Q09957
D2092.4	P91194
Y59A8B.7	Q9GRZ1
Y59A8B.9	Q9GRZ0
VW02B12L.3	Q9XXA2
T20G5.5	P34578
T14D7.2	Q94056
R03H4.6	Q21689
R02C2.3	O44545
W07A12.6	Q9XVW0
W07A12.7	Q9XVW1
C08B11.4	Q09225
C31A11.7	O45283
W06G6.1	G5EEY0
C31A11.5	O45282
F52F10.4	Q9UAQ9
C06B3.2	Q17701
F52F10.3	Q9UAQ8
F09B9.1	Q19239
T27E4.6	Q23054
C31A11.1	G5EBI1
Y39H10A.2	Q9N3Z2
F36G9.12	O45470
C05E4.3	G5EE40
C03G6.18	O01461
C03G6.19	G5EFH4
F20D6.3	Q19651
C05E4.1	O17365
C14A11.7	O02139
CD4.2	G5EG18
B0432.8	P90989
M04F3.5	Q95Y95
E02H4.1	Q19038
F53B2.2	Q20707
Y39B6A.6	Q9NET3
B0496.8	Q17525
Y1A5A.1	Q9XXT7
D1086.9	G5ED64
C14F5.2	G5EEY6
T08B1.3	O44555
F10E7.11	Q19306
T07F8.4	P91437
F52B10.1	Q20641
Y11D7A.14	Q9XWR0
F58G4.1	Q21000
F20G4.3	G5EBY3
K12F2.1	P12844
R06C7.10	P02567
T18D3.4	P12845
F11C3.3	P02566
C27A12.9	O01966
T25G3.4	P90795
Y50E8A.6	Q9NAF2
ZK546.15	Q23528
C25H3.11	Q9BIA3
C25H3.8	Q18183
F59A2.5	Q21019
T24E12.10	O44881
C15H11.4	Q9XVS9
F32A5.8	Q95QH4
C01G8.3	P91013
K10H10.6	Q9XU55
E04F6.15	Q95QN9
T12B3.1	Q9UAX0
E04F6.7	Q19062
DC2.5	Q9UAW2
T25G12.7	Q65ZI3
Y60A3A.10	Q9U1Y6
K07G5.1	Q21301
Y53G8B.2	Q9N4S3
W01A11.2	Q23067
F59A1.10	Q9XUW0
B0035.3	Q17432
R07B7.5	Q21795
Y43F4B.10	Q8MPP5
F49E7.2	Q9GYH8
C04F12.9	Q9XVE6
ZK938.7	Q23676
T04B8.3	O44847
ZK1290.6	Q09633
T27F7.1	Q9GYK4
K12D12.5	G5ED63
F40F9.2	Q20241
Y42H9AR.2	Q9N3Y5
B0563.4	Q11080
C18E9.1	G5EEG0
F13E9.1	K8F807
K11G12.5	G5EE96
B0432.4	P90992
C46E10.9	O44720
F12E12.5	Q9BLC4
F26F4.8	Q19820
D2092.10	Q1NZ31
T07H6.4	Q22327
T28A8.7	Q9XU10
T21E3.3	O01768
F29D11.1	Q04833
F14B4.1	G5EFK8
M03E7.4	Q21496
ZC101.1	G5EDZ0
C03H5.3	O16657
F45H11.4	G5EG10
C56E6.2	Q18898
T01B7.3	Q22045
T15B7.1	Q5ZR75
Y110A2AL.14	Q9N491
F14B6.4	O62163
T15D6.5	Q9XU74
C47F8.3	G5ECA6
C47F8.5	O62114
E03H4.11	O17750
C54C8.3	O02231
C47F8.6	O62115
C46F4.2	Q18660
F37C12.7	Q20121
Y76A2B.3	Q9XWD1
C13D9.7	O16241
C07A9.4	P34315
C13D9.8	O16242
C07A9.11	P34322
C26G2.1	Q9U3P2
F39H12.4	Q9TXI8
T01G1.3	G5EFY6
T10B5.3	O76407
W09D10.1	O18181
Y105E8A.19	G5ED95
F31E3.4	P53015
F35B12.4	Q20008
C34F6.1	O17644
Y49G5A.1	Q9UAZ2
R12A1.3	O16701
C32D5.2	Q09488
T01B7.8	Q22048
F48A9.3	O01566
F27E11.1	G5EE77
Y71H2B.2	Q9N4E8
Y60A3A.7	Q9U1Z6
F55F3.1	Q9XUY2
Y47D3A.15	Q9NAH7
Y4C6B.5	Q9UAZ6
F40F9.5	Q20236
Y43F8A.5	Q9XWL3
T25D3.4	Q965I9
W05B10.2	Q23170
R07B1.12	G5EBF0
F17C8.4	G5EGA7
F43D9.2	Q20365
C06A8.6	Q17692
T07A5.5	Q6BEV3
Y39G10AR.13	G5EE37
C17H1.5	O45256
F42A6.9	O44490
R06F6.4	Q09415
F53F10.8	Q4TT81
Y53F4B.32	Q9NAB1
Y1H11.2	Q8T7Z3
Y53F4B.31	Q9NAB2
F37B1.3	Q93696
Y53F4B.33	Q9NAB0
Y53F4B.29	Q9NAB4
F37B1.2	Q93695
Y53F4B.30	Q9NAB3
K08F4.7	Q21355
F37B1.4	Q93697
T27A10.7	Q22824
Y74C10AR.1	Q965S8
ZC373.4	Q23260
ZK524.4	G5EFV2
F22B8.7	O45394
